Xref,Exhibition Week,Dist,Title,Director,Cast,Run Time,Rating,IMAX/3D,Genre,Locations at Opening,Pattern,Producer(s),Production Company,Synopsis,Release,Year of Release,Month of Release,Week of Release,Reported Gross,Competition,Wide Competition,Number of Expansions,Locations at Widest,Released During Covid?,Day & Date
113580,12/22/17,FOX,"Greatest Showman, The (2017)",Michael Gracey,"Hugh Jackman, Michelle Williams, Zac Efron",105,PG,IMAX,"Musical, Drama",3006,Wide,"Jenno Topping, Laurence Mark, Peter Chernin","Chernin Entertainment, Laurence Mark Productions","THE GREATEST SHOWMAN is a bold and original musical that celebrates the birth of show business and the sense of wonder we feel when dreams come to life. Inspired by the ambition and imagination of P.T. Barnum, THE GREATEST SHOWMAN tells the story of a visionary who rose from nothing to create a mesmerizing spectacle that became a worldwide sensation. THE GREATEST SHOWMAN is directed by exciting new filmmaker, Michael Gracey, with songs by Academy Award winners Benji Pasek and Justin Paul (''La La Land') and starring Academy Award nominee Hugh Jackman. Jackman is joined by Academy Award nominee Michelle Williams, Zendaya, Zac Efron and Rebecca Ferguson.",12/20/17,2017,12,51,174340174,6,3,0,3006,0,0
120822,12/22/17,UNI,Pitch Perfect 3,Trish Sie,"Anna Kendrick, Brittany Snow, Rebel Wilson",93,PG13, ,"Comedy, Musical",3447,Wide,"Elizabeth Banks, Max Handelman, Paul Brooks","Brownstone Productions, DENTSU Music And Entertainment, Gold Circle Entertainment","Now graduated from college and out in the real world where it takes more than a cappella to get by, the Bellas return in Pitch Perfect 3, the next chapter in the beloved series that has taken in more than $400 million at the global box office. After the highs of winning the World Championships, the Bellas find themselves split apart and discovering there aren't job prospects for making music with your mouth. But when they get the chance to reunite for an overseas USO tour, this group of awesome nerds will come together to make some music, and some questionable decisions, one last time.",12/22/17,2017,12,51,104897530,6,4,0,3447,0,0
136246,12/22/17,FOX,"Post, The",Steven Spielberg,"Meryl Streep, Tom Hanks",116,PG13, ,"Drama,",9,Exclusive,"Amy Pascal, Kristie Macosko Krieger, Steven Spielberg","Amblin Entertainment, Pascal Pictures, Star Thrower Entertainment","Steven Spielberg directs Meryl Streep and Tom Hanks in THE POST, a thrilling drama about the unlikely partnership between The Washington Post's Katharine Graham (Streep), the first female publisher of a major American newspaper, and editor Ben Bradlee (Hanks), as they race to catch up with The New York Times to expose a massive cover-up of government secrets that spanned three decades and four U.S. Presidents. The two must overcome their differences as they risk their careers -- and their very freedom -- to help bring long-buried truths to light.",12/22/17,2017,12,51,81903458,6,0,1,2819,0,0
131309,12/22/17,PAR,Downsizing,Alexander Payne,"Kristen Wiig, Matt Damon",135,R, ,"Comedy, Drama",2668,Wide,"Alexander Payne, Jim Burke, Mark A. Johnson, Megan Ellison","Ad Hominem Enterprises, Annapurna Pictures, Paramount Pictures","When scientists discover how to shrink humans to five inches tall as a solution to over-population, Paul (Matt Damon) and his wife Audrey (Kristen Wiig) decide to abandon their stressed lives in order to get small and move to a new downsized community -- a choice that triggers life-changing adventures.",12/22/17,2017,12,51,24449754,6,2,0,2668,0,0
122264,12/22/17,WB,Father Figures,Lawrence Sher,"Ed Helms, J.K. Simmons, Owen Wilson, Ving Rhames",113,R, ,"Comedy,",2902,Wide,"Ali Bell, Andrew Kosove, Broderick Johnson, Ivan Reitman, Tom Pollock","Alcon Entertainment, DMG Entertainment, Montecito Picture Company","In the Alcon Entertainment comedy FATHER FIGURES, Owen Wilson (The Grand Budapest Hotel, Wedding Crashers) and Ed Helms (The Hangover films, We're the Millers) star as fraternal twins Kyle and Peter who accidentally discover they've been living with a lie all their lives. The kindly man in the photo on their mantle isn't their father after all, but an invention their mother (Glenn Close) concocted to conceal the truth: that she actually doesn't know who their real father is. See, it was the seventies, and things were crazy, and...well, you know.",12/22/17,2017,12,51,17501244,6,0,0,2902,0,0
139689,12/29/17,SNY,All The Money In The World,Ridley Scott,"Christopher Plummer, Mark Wahlberg, Michelle Williams",133,R, ,"Suspense,",2074,Wide,"Bradley Thomas, Chris Clark, Dan Friedkin, Kevin J. Walsh, Mark Huffam, Quentin Curtis, Ridley Scott","Generator Entertainment, Imperative Entertainment, Reprisal Films, Scott Free Productions, TriStar Productions","After 16-year-old John Paul Getty III is kidnapped, his devoted mother Gail tries to convince his billionaire grandfather to pay the ransom. When Getty Sr. refuses, Gail attempts to sway him as her sonas captors become increasingly volatile and brutal. With her son's life in the balance, Gail and Getty's advisor become unlikely allies in the race against time that ultimately reveals the true and lasting value of love over money.",12/25/17,2017,12,52,25113707,1,0,0,2074,0,0
121064,1/5/18,UNI,Insidious: The Last Key,Adam Robitel,"Lin Shaye,Angus Sampson",103,PG13, ,"Horror, Suspense",3116,Wide,"James Wan, Jason Blum, Oren Peli",Blumhouse Productions,"The creative minds behind the hit Insidious trilogy return for INSIDIOUS: THE LAST KEY.  In the supernatural thriller, which welcomes back franchise standout Lin Shaye as Dr. Elise Rainier, the brilliant parapsychologist faces her most fearsome and personal haunting yet: in her own family home. The film is written by co-creator Leigh Whannell (Saw), who wrote the trilogy and directed Chapter 3; produced by Insidious regulars Jason Blum (The Purge series, Get Out), Oren Peli (Paranormal Activity) and co-creator James Wan (The Conjuring, Furious 7); and directed by series newcomer Adam Robitel (The Taking of Deborah Logan).",1/5/18,2018,1,1,67745330,1,1,0,3116,0,0
130079,1/12/18,WB,Paddington 2,Paul King,"Ben Whishaw, Hugh Bonneville, Hugh Grant, Sally Hawkins",103,PG, ,"Comedy, Family",3702,Wide,David Heyman,Heyday Films,"From producer David Heyman (HARRY POTTER, GRAVITY, FANTASTIC BEASTS AND WHERE TO FIND THEM).  PADDINGTON 2  finds Paddington happily settled with the Brown family in Windsor Gardens, where he has become a popular member of the community, spreading joy and marmalade wherever he goes. While searching for the perfect present for his beloved Aunt Lucy's 100th birthday, Paddington spots a unique pop-up book in Mr. Gruber's antique shop, and embarks upon a series of odd jobs to buy it. But when the book is stolen, it's up to Paddington and the Browns to unmask the thief.",1/12/18,2018,1,2,40907738,4,0,0,3702,0,0
128870,1/12/18,LGF,"Commuter, The",Jaume Collet-Serra,"Liam Neeson, Vera Farmiga",105,PG13,IMAX,"Action, Suspense",2892,Wide,"Alex Heineman, Andrew Rona",StudioCanal,"In this action-packed thriller, Liam Neeson plays an insurance salesman, Michael, on his daily commute home, which quickly becomes anything but routine. After being contacted by a mysterious stranger, Michael is forced to uncover the identity of a hidden passenger on his train before the last stop. As he works against the clock to solve the puzzle, he realizes a deadly plan is unfolding and is unwittingly caught up in a criminal conspiracy. One that carries life and death stakes for himself and his fellow passengers.",1/12/18,2018,1,2,36343858,4,0,0,2892,0,0
133110,1/12/18,SNY,Proud Mary,Babak Najafi,"Taraji P. Henson,Billy Aaron Brown",84,R, ,"Action, Suspense",2125,Wide,"Paul Schiff, Tai Duncan","Paul Schiff Productions, Zero Gravity Management",An assassin meets a young boy that sparks her maternal instinct.,1/12/18,2018,1,2,20877013,4,0,0,2125,0,0
